type,buyed_items,type_index,buyed_items_indexes
PC,"['Book-6', 'Car-1', 'PC-1', 'PC-2', 'PC-6', 'PC-7', 'PC-8', 'PC-9']",2,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1]"
PC,"['PC-0', 'PC-4', 'PC-5', 'PC-6', 'PC-7', 'PC-9']",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1]"
Car,"['Book-0', 'Car-0', 'Car-1', 'Car-3', 'Car-4', 'Car-5', 'Car-6', 'Car-7', 'Car-9', 'PC-2', 'PC-9']",1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
PC,"['PC-0', 'PC-1', 'PC-4', 'PC-6', 'PC-7', 'PC-8', 'PC-9']",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1]"
PC,"['Book-8', 'Car-4', 'PC-0', 'PC-2', 'PC-3', 'PC-5', 'PC-6', 'PC-7', 'PC-9']",2,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1]"
PC,"['Book-2', 'PC-0', 'PC-1', 'PC-2', 'PC-3', 'PC-4', 'PC-5', 'PC-7']",2,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0]"
PC,"['Book-5', 'Car-6', 'Car-7', 'PC-0', 'PC-2', 'PC-3', 'PC-5', 'PC-8', 'PC-9']",2,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1]"
PC,"['Car-1', 'PC-1', 'PC-2', 'PC-3', 'PC-5', 'PC-6', 'PC-8']",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0]"
PC,"['Book-2', 'Book-5', 'Book-6', 'PC-0', 'PC-2', 'PC-3', 'PC-7', 'PC-8', 'PC-9']",2,"[0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1]"
Book,"['Book-0', 'Book-2', 'Book-3', 'Book-4', 'Book-5', 'Book-6', 'Car-1', 'Car-2']",0,"[1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Car,"['Book-9', 'Car-0', 'Car-1', 'Car-2', 'Car-4', 'Car-7', 'Car-8', 'Car-9']",1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Car,"['Book-0', 'Car-0', 'Car-2', 'Car-5', 'Car-6', 'Car-7', 'Car-8']",1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
PC,"['Book-2', 'Book-8', 'PC-1', 'PC-2', 'PC-4', 'PC-5', 'PC-8', 'PC-9']",2,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1]"
Book,"['Book-0', 'Book-2', 'Book-3', 'Book-4', 'Book-5', 'Book-6', 'Book-7', 'Book-8', 'Book-9']",0,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Car,"['Book-9', 'Car-0', 'Car-2', 'Car-5', 'Car-7', 'Car-8', 'Car-9']",1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Car,"['Car-0', 'Car-1', 'Car-2', 'Car-4', 'Car-5', 'Car-7', 'Car-8', 'PC-0', 'PC-2', 'PC-4']",1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
Car,"['Car-0', 'Car-1', 'Car-2', 'Car-3', 'Car-5', 'Car-7', 'PC-9']",1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Book,"['Book-1', 'Book-2', 'Book-3', 'Book-6', 'Book-7', 'Book-8', 'Car-0', 'Car-2', 'Car-8', 'PC-3', 'PC-6']",0,"[0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
PC,"['Book-2', 'Car-6', 'PC-1', 'PC-2', 'PC-3', 'PC-4', 'PC-5', 'PC-6']",2,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0]"
Car,"['Book-4', 'Book-8', 'Car-0', 'Car-1', 'Car-2', 'Car-4', 'Car-5', 'Car-7', 'Car-8', 'Car-9']",1,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Car,"['Book-3', 'Car-3', 'Car-4', 'Car-5', 'Car-7', 'Car-8', 'Car-9', 'PC-0']",1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
PC,"['PC-2', 'PC-3', 'PC-4', 'PC-6', 'PC-8', 'PC-9']",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1]"
PC,"['PC-0', 'PC-1', 'PC-2', 'PC-5', 'PC-7', 'PC-8']",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0]"
Car,"['Book-1', 'Car-0', 'Car-1', 'Car-3', 'Car-4', 'Car-6', 'Car-7', 'Car-9', 'PC-2']",1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
PC,"['Book-4', 'Car-9', 'PC-0', 'PC-1', 'PC-3', 'PC-4', 'PC-5', 'PC-9']",2,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1]"
Car,"['Book-3', 'Car-2', 'Car-3', 'Car-4', 'Car-6', 'Car-8', 'Car-9', 'PC-6']",1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
PC,"['Book-6', 'Car-0', 'Car-4', 'Car-7', 'PC-0', 'PC-1', 'PC-4', 'PC-5', 'PC-6', 'PC-8', 'PC-9']",2,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1]"
Book,"['Book-1', 'Book-2', 'Book-3', 'Book-4', 'Book-7', 'Book-8', 'Book-9', 'Car-2', 'PC-5', 'PC-9']",0,"[0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
PC,"['Book-3', 'PC-1', 'PC-3', 'PC-4', 'PC-5', 'PC-8', 'PC-9']",2,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1]"
Car,"['Book-3', 'Car-0', 'Car-1', 'Car-3', 'Car-4', 'Car-6', 'Car-7', 'Car-8', 'Car-9']",1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Book,"['Book-2', 'Book-3', 'Book-4', 'Book-5', 'Book-6', 'Book-8', 'Car-9', 'PC-1', 'PC-6']",0,"[0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
PC,"['PC-1', 'PC-2', 'PC-4', 'PC-5', 'PC-6', 'PC-7', 'PC-8']",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0]"
PC,"['Book-8', 'Car-5', 'PC-1', 'PC-2', 'PC-4', 'PC-5', 'PC-6', 'PC-7']",2,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0]"
Car,"['Car-2', 'Car-3', 'Car-5', 'Car-7', 'Car-8', 'Car-9', 'PC-0', 'PC-4']",1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Book,"['Book-0', 'Book-3', 'Book-4', 'Book-5', 'Book-6', 'Book-8', 'Book-9', 'Car-4', 'Car-9', 'PC-0', 'PC-2']",0,"[1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
Book,"['Book-0', 'Book-1', 'Book-3', 'Book-4', 'Book-5', 'Book-6', 'Book-7', 'Car-2', 'PC-4']",0,"[1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Car,"['Book-8', 'Car-1', 'Car-4', 'Car-5', 'Car-6', 'Car-8', 'Car-9']",1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
PC,"['PC-0', 'PC-1', 'PC-2', 'PC-3', 'PC-6', 'PC-7', 'PC-8']",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0]"
Book,"['Book-1', 'Book-2', 'Book-3', 'Book-4', 'Book-6', 'Book-7', 'Car-9', 'PC-1']",0,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
PC,"['Car-1', 'Car-8', 'PC-2', 'PC-4', 'PC-5', 'PC-6', 'PC-7', 'PC-9']",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1]"
Book,"['Book-0', 'Book-1', 'Book-2', 'Book-3', 'Book-6', 'Book-7', 'PC-2']",0,"[1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
Car,"['Book-5', 'Car-1', 'Car-3', 'Car-4', 'Car-7', 'Car-8', 'Car-9']",1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Book,"['Book-0', 'Book-2', 'Book-4', 'Book-5', 'Book-7', 'Book-9', 'Car-8', 'PC-4']",0,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
PC,"['Car-1', 'PC-0', 'PC-2', 'PC-4', 'PC-5', 'PC-6', 'PC-7', 'PC-8']",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0]"
Car,"['Book-8', 'Car-0', 'Car-1', 'Car-5', 'Car-6', 'Car-7', 'Car-8', 'PC-0']",1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Car,"['Car-2', 'Car-3', 'Car-5', 'Car-6', 'Car-7', 'Car-8', 'Car-9']",1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
PC,"['Book-9', 'PC-0', 'PC-2', 'PC-3', 'PC-5', 'PC-6', 'PC-7', 'PC-9']",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1]"
Car,"['Book-1', 'Book-8', 'Car-0', 'Car-1', 'Car-3', 'Car-5', 'Car-6', 'Car-9', 'PC-3', 'PC-6']",1,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
PC,"['Book-0', 'Car-5', 'PC-1', 'PC-2', 'PC-4', 'PC-6', 'PC-7', 'PC-8']",2,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0]"
Car,"['Book-1', 'Car-0', 'Car-1', 'Car-2', 'Car-6', 'Car-7', 'Car-9', 'PC-3']",1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Book,"['Book-0', 'Book-1', 'Book-3', 'Book-4', 'Book-5', 'Book-9', 'PC-0']",0,"[1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
PC,"['Book-1', 'PC-1', 'PC-2', 'PC-3', 'PC-4', 'PC-6', 'PC-7', 'PC-8']",2,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0]"
Car,"['Book-9', 'Car-1', 'Car-2', 'Car-3', 'Car-4', 'Car-6', 'Car-7', 'Car-9', 'PC-4']",1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Car,"['Car-2', 'Car-3', 'Car-5', 'Car-6', 'Car-7', 'Car-9', 'PC-2']",1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
Book,"['Book-0', 'Book-1', 'Book-2', 'Book-4', 'Book-6', 'Book-8', 'Book-9', 'Car-0', 'Car-9', 'PC-6']",0,"[1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
Book,"['Book-0', 'Book-1', 'Book-2', 'Book-3', 'Book-4', 'Book-6', 'Book-7', 'Book-9', 'PC-4', 'PC-7']",0,"[1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
Book,"['Book-0', 'Book-1', 'Book-3', 'Book-6', 'Book-7', 'Book-8', 'Book-9', 'Car-2', 'Car-4', 'PC-3', 'PC-8']",0,"[1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
PC,"['Book-2', 'Car-0', 'Car-3', 'Car-5', 'PC-1', 'PC-3', 'PC-4', 'PC-6', 'PC-8', 'PC-9']",2,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1]"
Car,"['Car-0', 'Car-1', 'Car-3', 'Car-5', 'Car-6', 'Car-9']",1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Car,"['Car-0', 'Car-3', 'Car-4', 'Car-6', 'Car-7', 'Car-9', 'PC-8']",1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
PC,"['Book-0', 'Book-1', 'Car-1', 'PC-0', 'PC-1', 'PC-3', 'PC-4', 'PC-5', 'PC-7', 'PC-8']",2,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0]"
PC,"['Book-9', 'Car-4', 'PC-1', 'PC-5', 'PC-6', 'PC-7', 'PC-8', 'PC-9']",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1]"
Car,"['Car-0', 'Car-1', 'Car-5', 'Car-7', 'Car-8', 'Car-9', 'PC-3', 'PC-4']",1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
Book,"['Book-2', 'Book-3', 'Book-4', 'Book-5', 'Book-6', 'Book-9', 'Car-2']",0,"[0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Car,"['Book-0', 'Book-5', 'Book-6', 'Car-0', 'Car-1', 'Car-2', 'Car-3', 'Car-5', 'Car-7', 'Car-8', 'Car-9']",1,"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Book,"['Book-0', 'Book-1', 'Book-2', 'Book-3', 'Book-4', 'Book-5', 'Book-8', 'Book-9', 'Car-5']",0,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Book,"['Book-0', 'Book-1', 'Book-2', 'Book-3', 'Book-4', 'Book-8', 'Car-9']",0,"[1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Car,"['Book-8', 'Car-1', 'Car-2', 'Car-3', 'Car-5', 'Car-7', 'Car-8', 'Car-9', 'PC-0']",1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
PC,"['Car-1', 'PC-0', 'PC-1', 'PC-3', 'PC-4', 'PC-5', 'PC-6']",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0]"
Car,"['Book-5', 'Book-6', 'Car-0', 'Car-1', 'Car-2', 'Car-3', 'Car-4', 'Car-7', 'Car-8', 'Car-9']",1,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
PC,"['Book-1', 'Book-2', 'Book-9', 'Car-6', 'Car-7', 'Car-8', 'PC-2', 'PC-3', 'PC-6', 'PC-7', 'PC-8', 'PC-9']",2,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1]"
PC,"['Book-5', 'Car-7', 'Car-9', 'PC-0', 'PC-3', 'PC-4', 'PC-5', 'PC-6', 'PC-7', 'PC-8']",2,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0]"
Book,"['Book-0', 'Book-2', 'Book-3', 'Book-4', 'Book-6', 'Book-8', 'Car-1', 'Car-6', 'PC-1', 'PC-4']",0,"[1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
Car,"['Car-0', 'Car-1', 'Car-4', 'Car-5', 'Car-6', 'Car-7', 'Car-8', 'Car-9', 'PC-9']",1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Book,"['Book-0', 'Book-1', 'Book-3', 'Book-5', 'Book-6', 'Book-9']",0,"[1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Book,"['Book-1', 'Book-2', 'Book-4', 'Book-5', 'Book-7', 'Book-9', 'PC-7']",0,"[0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Car,"['Book-6', 'Car-0', 'Car-1', 'Car-4', 'Car-5', 'Car-6', 'Car-7']",1,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Book,"['Book-0', 'Book-2', 'Book-3', 'Book-6', 'Book-7', 'Book-8', 'Car-4', 'PC-2', 'PC-8']",0,"[1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
Car,"['Book-2', 'Book-3', 'Book-4', 'Car-1', 'Car-2', 'Car-3', 'Car-4', 'Car-5', 'Car-6']",1,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Book,"['Book-2', 'Book-3', 'Book-4', 'Book-5', 'Book-7', 'Book-8']",0,"[0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
PC,"['Book-3', 'Car-1', 'Car-3', 'Car-8', 'PC-2', 'PC-3', 'PC-4', 'PC-5', 'PC-6', 'PC-7']",2,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0]"
Car,"['Book-4', 'Book-7', 'Car-1', 'Car-4', 'Car-5', 'Car-6', 'Car-8', 'Car-9', 'PC-7']",1,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
PC,"['Car-9', 'PC-0', 'PC-1', 'PC-3', 'PC-5', 'PC-6', 'PC-8']",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0]"
PC,"['Car-6', 'PC-1', 'PC-2', 'PC-3', 'PC-4', 'PC-5', 'PC-6', 'PC-8', 'PC-9']",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1]"
Book,"['Book-1', 'Book-2', 'Book-3', 'Book-5', 'Book-6', 'Book-8', 'Car-2', 'Car-4', 'PC-0', 'PC-5', 'PC-6']",0,"[0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
Car,"['Book-0', 'Car-0', 'Car-2', 'Car-3', 'Car-4', 'Car-5', 'Car-6', 'Car-7', 'Car-9']",1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Book,"['Book-0', 'Book-1', 'Book-2', 'Book-4', 'Book-5', 'Book-8', 'PC-7']",0,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Book,"['Book-0', 'Book-1', 'Book-2', 'Book-6', 'Book-7', 'Book-8', 'Book-9', 'PC-2', 'PC-3', 'PC-7', 'PC-9']",0,"[1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1]"
